C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
D,GSH,BENCHMARK_PRICE,1,"2019/12/06 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/05 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2019/12/05 00:00:00",WAL,"Gas - NG DA Days",7.20,1,"2019/12/04 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2019/12/05 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/04 19:30:00"
D,GSH,BENCHMARK_PRICE,1,"2019/12/04 00:00:00",WAL,"Gas - NG DA Days",7.20,1,"2019/12/03 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/04 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/03 19:30:07"
D,GSH,BENCHMARK_PRICE,1,"2019/12/03 00:00:00",WAL,"Gas - NG DA Days",7.20,1,"2019/12/02 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/03 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/02 19:30:09"
D,GSH,BENCHMARK_PRICE,1,"2019/12/02 00:00:00",WAL,"Gas - NG DA Days",7.20,1,"2019/12/01 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/02 00:00:00",SEQ,"Gas - NG DA Days",6.05,1,"2019/12/01 19:30:03"
D,GSH,BENCHMARK_PRICE,1,"2019/12/01 00:00:00",WAL,"Gas - NG DA Days",7.20,1,"2019/11/30 19:30:04"
D,GSH,BENCHMARK_PRICE,1,"2019/12/01 00:00:00",SEQ,"Gas - NG DA Days",6.05,1,"2019/11/30 19:30:04"
